
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
48:00:33:E2:BD:8B, 2018-02-22 06:59:05, 2018-02-22 06:59:05,  1,  -1, , ,   , -74,        0,        0,   0.  0.  0.  0,   0, , 
54:65:DE:FF:CA:D0, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -73,        5,        0,   0.  0.  0.  0,   9, DG1670AD2, 
B0:C2:87:BE:DF:6D, 2018-02-22 06:59:10, 2018-02-22 06:59:10,  1,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,   9, TC8715D67, 
48:00:33:B4:03:C9, 2018-02-22 06:59:10, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -72,        3,        0,   0.  0.  0.  0,  11, Dummies-2.4, 
14:CC:20:D3:F6:C2, 2018-02-22 06:59:08, 2018-02-22 06:59:12,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -72,        4,        0,   0.  0.  0.  0,   9, NETGEAR69, 
B0:7F:B9:1B:2B:B0, 2018-02-22 06:59:09, 2018-02-22 06:59:13, 11,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   9, NETGEAR42, 
BC:CA:B5:79:8C:80, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -68,        3,        0,   0.  0.  0.  0,   9, TCHilgard, 
E0:88:5D:0C:5F:07, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2, CCMP,PSK, -69,        4,        0,   0.  0.  0.  0,  15, access2internet, 
C0:25:E9:AA:7E:B6, 2018-02-22 06:59:07, 2018-02-22 06:59:11,  2,  54, WPA2, CCMP,PSK, -66,        2,        0,   0.  0.  0.  0,  12, TP-LINK_7EB6, 
8C:09:F4:0A:4A:B0, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -68,        2,        0,   0.  0.  0.  0,   9, DG1670AB2, 
90:C7:92:F3:50:10, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2, CCMP,PSK, -68,        5,        0,   0.  0.  0.  0,  10, Hilgard317, 
10:DA:43:6A:E5:2C, 2018-02-22 06:59:08, 2018-02-22 06:59:12,  9,  54, WPA2, CCMP,PSK, -66,        6,        0,   0.  0.  0.  0,   9, NETGEAR69, 
10:7B:44:5B:81:B0, 2018-02-22 06:59:10, 2018-02-22 06:59:10,  1,  54, WPA2, CCMP,PSK, -66,        1,        0,   0.  0.  0.  0,   8, Leo_2GHz, 
00:1D:D6:DA:62:30, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2, CCMP,PSK, -63,        4,        1,   0.  0.  0.  0,  10, Hilgard316, 
70:56:81:A0:7C:59, 2018-02-22 06:59:09, 2018-02-22 06:59:13, 11,  54, WPA2, CCMP,PSK, -64,        2,        0,   0.  0.  0.  0,  15, Bach Loves Dick, 
34:68:95:F9:AA:41, 2018-02-22 06:59:05, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -61,        5,        0,   0.  0.  0.  0,  10, WIFIF9AA3E, 
B0:7F:B9:10:86:08, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2, CCMP,PSK, -60,        4,        0,   0.  0.  0.  0,  10, Zhongzheng, 
48:BA:4E:0C:27:EF, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -61,        5,        0,   0.  0.  0.  0,  32, DIRECT-EE-HP DeskJet 2600 series, 
B0:C2:87:BE:85:76, 2018-02-22 06:59:10, 2018-02-22 06:59:10,  1,  54, WPA2, CCMP,PSK, -60,        1,        0,   0.  0.  0.  0,  10, Hilgard216, 
30:E1:71:E2:9D:65, 2018-02-22 06:59:05, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -58,        3,        0,   0.  0.  0.  0,  29, DIRECT-64-HP ENVY 7640 series, 
9C:3D:CF:16:FF:C3, 2018-02-22 06:59:05, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -58,        5,        0,   0.  0.  0.  0,  17, Dummies-2.4_2GEXT, 
A0:8E:78:04:78:56, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -64,        3,        0,   0.  0.  0.  0,  19, MySpectrumWiFi50-2G, 
10:DA:43:49:2C:7C, 2018-02-22 06:59:10, 2018-02-22 06:59:10,  1,  54, WPA2, CCMP,PSK, -56,        1,        0,   0.  0.  0.  0,   8, That Guy, 
40:B8:9A:E4:97:0C, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -50,        4,        1,   0.  0.  0.  0,  10, WIFIE49709, 
50:09:59:D5:F2:69, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2, CCMP,PSK, -46,        3,        0,   0.  0.  0.  0,   9, TC8717T63, 
90:CD:B6:9A:DE:07, 2018-02-22 06:59:10, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -46,        6,        0,   0.  0.  0.  0,  10, YidanLiang, 
44:1C:A8:BF:12:3C, 2018-02-22 06:59:06, 2018-02-22 06:59:15,  7,  54, WPA2, CCMP,PSK, -35,        6,        1,   0.  0.  0.  0,   5, Hsiao, 
EC:08:6B:AE:D7:FD, 2018-02-22 06:59:09, 2018-02-22 06:59:14, 11,  54, WPA2 WPA, CCMP,PSK, -36,        4,        0,   0.  0.  0.  0,  12, TP-LINK_D7FD, 
A8:6B:AD:F8:B9:56, 2018-02-22 06:59:05, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -29,        4,      125,   0.  0.  0.  0,   3, PH5, 
08:95:2A:6E:18:B8, 2018-02-22 06:59:06, 2018-02-22 06:59:14,  2,  54, WPA2, CCMP,PSK, -25,        5,        3,   0.  0.  0.  0,   9, TC8715DB2, 
90:48:9A:EB:0F:5F, 2018-02-22 06:59:09, 2018-02-22 06:59:14,  1,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  10, Hilgard115, 
00:25:00:FF:94:73, 2018-02-22 06:59:09, 2018-02-22 06:59:15, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
94:10:3E:14:80:B1, 2018-02-22 06:59:11, 2018-02-22 06:59:14,  1,  54, WPA2 WPA, CCMP TKIP,PSK, -64,        2,        0,   0.  0.  0.  0,   5, Magna, 
F4:6B:EF:3D:02:66, 2018-02-22 06:59:14, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  19, MySpectrumWiFi60-2G, 
A4:2B:8C:20:ED:D7, 2018-02-22 06:59:14, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,   9, NETGEAR37, 
60:19:71:F1:3B:E0, 2018-02-22 06:59:14, 2018-02-22 06:59:14,  6,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  23, skilesprinceton@twc.com, 
CC:03:FA:AD:3D:06, 2018-02-22 06:59:14, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -70,        2,        0,   0.  0.  0.  0,   9, TC8715D00, 
CC:03:FA:B3:09:12, 2018-02-22 06:59:14, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -72,        2,        0,   0.  0.  0.  0,   4, _314, 
A8:A7:95:FC:1D:5F, 2018-02-22 06:59:14, 2018-02-22 06:59:14,  1,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  10, WIFIFC1D5C, 
A4:08:F5:6A:D8:02, 2018-02-22 06:59:14, 2018-02-22 06:59:14,  1,  54, WPA2, CCMP,PSK, -64,        1,        0,   0.  0.  0.  0,  19, MySpectrumWiFifc-2G, 
B4:2A:0E:55:ED:B0, 2018-02-22 06:59:15, 2018-02-22 06:59:15,  1,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   9, IKentEven, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
