
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
60:19:71:F1:3B:E0, 2018-02-22 06:58:08, 2018-02-22 06:58:12,  6,  54, WPA2, CCMP,PSK, -74,        3,        0,   0.  0.  0.  0,  23, skilesprinceton@twc.com, 
70:56:81:A0:7C:59, 2018-02-22 06:58:07, 2018-02-22 06:58:12, 11,  54, WPA2, CCMP,PSK, -70,        4,        0,   0.  0.  0.  0,  15, Bach Loves Dick, 
D8:D7:75:95:30:0E, 2018-02-22 06:58:08, 2018-02-22 06:58:08,  6,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  19, MySpectrumWiFi08-2G, 
44:1C:A8:BD:78:F2, 2018-02-22 06:58:08, 2018-02-22 06:58:08,  6,  54, WPA2, CCMP,PSK, -74,        1,        0,   0.  0.  0.  0,  10, WIFIBD78EF, 
54:65:DE:FF:CA:D0, 2018-02-22 06:58:08, 2018-02-22 06:58:13,  6,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   9, DG1670AD2, 
E0:88:5D:0C:5F:07, 2018-02-22 06:58:08, 2018-02-22 06:58:12, 11,  54, WPA2, CCMP,PSK, -68,        4,        0,   0.  0.  0.  0,  15, access2internet, 
B0:7F:B9:1B:2B:B0, 2018-02-22 06:58:08, 2018-02-22 06:58:12, 11,  54, WPA2, CCMP,PSK, -73,        3,        0,   0.  0.  0.  0,   9, NETGEAR42, 
BC:CA:B5:79:8C:80, 2018-02-22 06:58:08, 2018-02-22 06:58:12,  6,  54, WPA2, CCMP,PSK, -71,        2,        0,   0.  0.  0.  0,   9, TCHilgard, 
B0:C2:87:BE:DF:6D, 2018-02-22 06:58:08, 2018-02-22 06:58:08,  1,  54, WPA2, CCMP,PSK, -72,        1,        0,   0.  0.  0.  0,   9, TC8715D67, 
A8:A7:95:FC:1D:5F, 2018-02-22 06:58:04, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -67,        2,        0,   0.  0.  0.  0,  10, WIFIFC1D5C, 
34:68:95:F8:18:CB, 2018-02-22 06:58:08, 2018-02-22 06:58:08,  6,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  10, WIFIF818C8, 
8C:09:F4:0A:4A:B0, 2018-02-22 06:58:08, 2018-02-22 06:58:09,  6,  54, WPA2, CCMP,PSK, -70,        2,        0,   0.  0.  0.  0,   9, DG1670AB2, 
A0:8E:78:04:78:56, 2018-02-22 06:58:08, 2018-02-22 06:58:08,  6,  54, WPA2, CCMP,PSK, -70,        1,        0,   0.  0.  0.  0,  19, MySpectrumWiFi50-2G, 
14:CC:20:D3:F6:C2, 2018-02-22 06:58:06, 2018-02-22 06:58:11,  9,  54, WPA2 WPA, CCMP TKIP,PSK, -70,        3,        1,   0.  0.  0.  0,   9, NETGEAR69, 
48:00:33:B4:03:C9, 2018-02-22 06:58:04, 2018-02-22 06:58:13,  1,  54, WPA2, CCMP,PSK, -69,        3,        0,   0.  0.  0.  0,  11, Dummies-2.4, 
CC:03:FA:AD:3D:06, 2018-02-22 06:58:08, 2018-02-22 06:58:09,  1,  54, WPA2, CCMP,PSK, -68,        2,        0,   0.  0.  0.  0,   9, TC8715D00, 
